Freq. Range[8,1.299000e+01]
Name;#Epochs;Frontal;Central;RightTemporal;LeftTemporal;Parietal;Occipital
001_BL01.set;30;-7.250561;-12.302208;-7.165483;-5.227668;-10.513758;-2.178897
001_BL02.set;30;-7.470587;-11.956997;-6.451226;-4.814180;-10.676587;-1.922043
001_BL03.set;30;-7.699276;-12.314026;-7.452092;-5.143075;-11.763904;-4.223830
001_BL04.set;30;-6.046790;-11.049660;-5.110507;-4.346451;-9.934650;-3.739167
001_IBOE.set;30;-6.694039;-11.926466;-6.572659;-5.289067;-11.455673;-4.011149
002_BL01.set;30;-2.237060;-8.150159;-2.427995;-2.211337;-5.970651;0.551120
002_BL02.set;30;-0.137934;-6.288599;-0.780549;-0.377062;-4.725351;0.766147
002_BL03.set;30;-0.654028;-7.387396;-1.431755;-2.027707;-6.076027;0.323778
002_BL04.set;30;0.590592;-6.861125;-1.048699;-1.173205;-5.007304;1.107192
002_IBOE.set;30;-0.771274;-7.105332;-1.884237;-0.432500;-4.651359;-0.090767
003_BL01.set;30;2.874740;-0.930959;2.941325;2.886050;1.876661;6.456315
003_BL02.set;30;-3.409175;-7.167291;-1.821290;-6.600535;-6.757871;-0.093330
003_BL03.set;30;-2.908367;-6.809006;-1.518983;-3.600912;-4.673965;2.938152
003_BL04.set;30;-2.640384;-6.427384;-1.514331;-4.305922;-4.825473;1.061363
003_IBOE.set;30;-3.035689;-7.377494;-0.683258;-8.893666;-5.404086;1.185785
004_BL01.set;30;-6.481088;-10.860832;-4.574293;-5.356827;-10.596109;-8.791610
004_BL02.set;30;-8.333485;-12.074576;-5.329170;-5.795779;-10.870540;-6.786998
004_BL03.set;30;-8.487156;-14.123864;-5.960827;-6.631008;-10.811021;-7.034032
004_BL04.set;30;-6.360174;-11.163371;-4.988698;-5.370094;-9.958607;-6.103665
004_IBOE.set;30;-9.633774;-13.480078;-6.406531;-6.866727;-11.715229;-8.875419
005_BL01.set;30;-5.128638;-9.061484;-2.115834;-1.947607;-5.989911;-2.005509
005_BL02.set;30;-5.443543;-9.959161;-3.288543;-2.386210;-7.906320;-2.693496
005_BL03.set;30;-5.077874;-9.844350;-1.543038;-1.284033;-5.424277;-1.781530
005_BL04.set;30;-5.232269;-10.728799;-2.202164;-2.354632;-6.024858;-1.909174
005_IBOE.set;23;-1.473940;-8.289054;-1.431158;-2.698933;-4.093479;-0.861460
006_BL01.set;30;-5.136785;-8.277897;-3.870406;-2.203440;-7.279374;-2.704096
006_BL02.set;30;-5.423846;-9.788466;-4.639704;-7.771425;-9.746452;-4.483052
006_BL03.set;30;-5.203113;-9.456937;-4.025757;-6.531627;-8.925958;-3.924864
006_BL04.set;30;-2.924875;-6.564974;-1.251335;-2.596997;-5.989747;-1.906358
006_IBOE.set;30;4.422621;-6.950192;6.102999;7.707788;-4.820302;2.893879
007_BL01.set;30;-3.163803;-6.602285;-2.567209;-1.627455;-4.073503;0.102562
007_BL02.set;30;-2.968602;-6.978589;-1.360479;-1.363052;-4.845508;-1.167065
007_BL03.set;30;-2.882584;-8.369375;-2.435404;-2.443704;-5.676811;-2.461088
007_BL04.set;30;-2.307770;-6.289140;-1.748739;-1.617134;-3.672030;0.667833
007_IBOE.set;30;0.119990;-4.593369;-1.091299;0.434225;-2.119001;3.204755
