Freq. Range[13,30];;;;;;;
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001_BL01.set;30;0.949728;-3.610.309;-1.034.923;-2.858.799;-3.945.745;-1.660.827
001_BL02.set;30;3.453.089;-2.105.899;1.224.326;-3.375.273;-3.057.607;-0.741134
001_BL03.set;30;-6.712.441;-10.300.893;-7.356.223;-7.300.866;-10.158.460;-5.626.610
001_BL04.set;30;-6.086.754;-10.124.246;-7.034.639;-6.804.591;-9.888.856;-5.353.329
001_IBOE.set;30;-5.902.382;-9.501.372;-5.738.002;-6.570.418;-10.281.149;-8.824.463
002_BL01.set;30;-1.142.188;-9.087.419;-6.094.536;-6.307.991;-9.981.435;-6.087.188
002_BL02.set;30;-0.585168;-7.318.235;-4.645.985;-5.127.586;-9.887.398;-5.962.737
002_BL03.set;30;0.738688;-6.461.606;-4.982.609;-5.216.537;-10.013.833;-6.223.721
002_BL04.set;30;-0.285740;-8.707.257;-3.491.586;-5.365.543;-9.211.100;-4.819.413
002_IBOE.set;30;-0.126917;-7.728.274;-4.109.246;-4.740.747;-8.733.704;-4.319.642
003_BL01.set;30;-3.713.575;-5.970.261;-2.427.505;-1.987.036;-5.920.451;-3.738.837
003_BL02.set;30;-0.981578;-5.949.206;-1.687.905;-1.357.080;-5.817.756;-3.729.778
003_BL03.set;30;-0.587680;-5.505.829;-1.857.606;-1.276.783;-5.490.443;-3.308.008
003_BL04.set;30;-2.210.573;-6.503.790;-2.418.707;-1.417.859;-5.603.771;-2.421.649
003_IBOE.set;30;-0.732362;-4.071.072;0.680296;-0.031862;-3.897.344;-1.785.284
004_BL01.set;30;-8.523.369;-9.741.179;-6.853.012;-6.588.616;-9.293.523;-5.928.097
004_BL02.set;30;-5.375.849;-9.104.625;-6.878.114;-5.387.723;-9.199.187;-5.494.659
004_BL03.set;30;-7.184.106;-9.858.676;-7.791.941;-6.699.871;-9.812.497;-7.145.926
004_BL04.set;30;-4.649.283;-8.956.925;-6.042.092;-6.997.195;-8.798.339;-5.034.191
004_IBOE.set;18;-18.395.743;-22.578.339;-20.405.531;-19.935.080;-20.746.847;-19.552.904
005_BL01.set;30;-10.844.613;-14.697.778;-9.946.713;-10.087.120;-13.119.721;-9.992.178
005_BL02.set;30;-8.111.371;-11.236.512;-3.394.186;-6.777.711;-10.506.584;-8.122.988
005_BL03.set;30;-11.603.882;-15.752.272;-13.254.973;-10.707.042;-14.603.338;-14.209.993
005_BL04.set;30;-9.825.501;-15.023.711;-10.103.008;-8.901.979;-12.609.050;-10.795.894
005_IBOE.set;30;-10.199.187;-15.608.010;-12.943.623;-10.665.408;-14.676.427;-14.047.932
006_BL01.set;30;-6.485.226;-10.384.948;-5.544.100;-6.309.351;-10.339.332;-7.237.874
006_BL02.set;30;-7.637.953;-11.890.454;-6.483.892;-6.475.363;-10.645.783;-7.390.373
006_BL03.set;30;-7.382.250;-11.653.624;-7.388.777;-5.914.298;-10.903.294;-7.441.126
006_BL04.set;30;-6.696.527;-11.008.551;-5.317.347;-6.553.045;-10.415.988;-6.828.916
006_IBOE.set;30;-6.007.972;-9.636.464;-3.663.122;-3.242.996;-9.316.932;-6.735.991
007_BL01.set;30;-5.642.640;-8.862.374;-3.308.663;-5.004.404;-8.394.198;-5.101.580
007_BL02.set;30;-5.782.027;-8.390.653;-2.799.488;-3.917.515;-8.247.989;-5.607.597
007_BL03.set;30;-4.339.047;-6.307.089;2.277.748;-2.277.717;-7.078.802;-6.449.735
007_BL04.set;30;-4.859.279;-8.140.907;-1.701.295;-3.958.714;-7.997.659;-6.456.620
007_IBOE.set;30;-5.209.429;-7.776.631;-2.341.114;-4.030.111;-7.375.528;-4.629.155
