Freq. Range[5.000000e-01,3.990000e+00]
Name;#Epochs;Frontal;Central;RightTemporal;LeftTemporal;Parietal;Occipital
001_BL01.set;30;1.995221;-0.824688;2.698164;2.753553;0.010874;3.208155
001_BL02.set;30;-0.549524;-5.434940;0.060037;0.641013;-4.546256;1.579878
001_BL03.set;30;0.539429;-5.392596;-1.553496;0.126202;-6.208268;0.544533
001_BL04.set;30;2.354511;-2.254699;2.323833;3.076163;-1.229848;1.924383
001_IBOE.set;30;1.473480;-4.617711;-0.711603;1.903036;-4.878006;0.824405
002_BL01.set;30;2.592133;-3.133311;3.063996;2.872283;-1.103748;4.943934
002_BL02.set;30;4.821591;-2.178694;3.526534;5.422460;-0.673370;4.836141
002_BL03.set;30;5.155526;-2.162307;4.209292;4.838613;-1.677054;4.132166
002_BL04.set;30;7.039087;-0.547683;5.466581;6.672963;1.421379;6.249381
002_IBOE.set;30;5.987867;-1.331923;4.510985;6.734921;0.237907;5.168025
003_BL01.set;30;3.261924;-1.097942;3.245194;1.918979;0.049231;3.997360
003_BL02.set;30;1.977650;-2.332895;2.995599;-0.613883;-2.875189;2.805530
003_BL03.set;30;2.323340;-1.408879;3.748191;2.216345;-0.529691;4.908762
003_BL04.set;30;3.382925;-0.285663;3.910021;2.642726;0.209281;5.558810
003_IBOE.set;30;2.418414;-1.860076;3.161449;-2.782964;-1.619591;3.706958
004_BL01.set;30;-0.733970;-7.134813;-1.453837;-2.000380;-8.184474;-6.610213
004_BL02.set;30;-3.250145;-7.874921;-2.186016;-2.606714;-7.759139;-3.888044
004_BL03.set;30;-3.881492;-10.600964;-2.910743;-1.960656;-8.005938;-4.245804
004_BL04.set;30;-1.812152;-7.425573;-1.388057;-1.595066;-7.189201;-3.981212
004_IBOE.set;30;-4.243492;-9.212705;-1.792938;-2.423832;-7.929995;-5.618045
005_BL01.set;30;-2.121245;-7.646066;-1.568052;-1.334000;-5.463112;-0.522457
005_BL02.set;30;-1.436269;-7.868465;-1.718484;-0.525345;-5.958636;-0.473676
005_BL03.set;30;-1.712160;-8.184417;-0.285259;-0.000119;-4.572458;0.647915
005_BL04.set;30;-0.784980;-8.028903;-0.384910;-0.552475;-4.964882;-0.174129
005_IBOE.set;23;2.529746;-6.649720;-0.103104;-1.466147;-3.948176;0.517634
006_BL01.set;30;3.279860;-2.701520;2.743332;3.940420;-2.896545;2.845697
006_BL02.set;30;1.092540;-5.317691;0.520690;-1.127438;-5.860514;-0.395375
006_BL03.set;30;-0.123114;-6.108922;-0.458863;-1.625352;-6.380574;-1.401245
006_BL04.set;30;5.157539;-1.032002;5.859606;4.788086;-1.282279;2.512002
006_IBOE.set;30;16.664245;1.517831;20.020148;20.086505;2.819525;13.698419
007_BL01.set;30;0.188994;-5.815245;-0.142248;1.847641;-2.696353;3.279870
007_BL02.set;30;4.481797;-3.905868;0.681134;1.964683;-2.812606;1.946016
007_BL03.set;30;1.590011;-6.385671;0.855799;1.579488;-4.035278;0.180741
007_BL04.set;30;1.774670;-5.844660;0.293497;2.768723;-2.136821;4.032400
007_IBOE.set;30;-0.394633;-6.556746;-1.114519;0.480743;-3.573297;0.907338
