Freq. Range[5.000000e-01,3.990000e+00];;;;;;;
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001_BL01.set;30;12.373.390;7.306.052;9.644.413;8.707.275;6.766.330;8.617.472
001_BL02.set;30;13.494.328;8.005.749;10.488.244;7.310.555;6.884.457;8.419.144
001_BL03.set;30;4.459.531;-0.121776;3.129.986;3.158.996;-0.079080;3.552.222
001_BL04.set;30;5.607.013;0.634127;4.561.599;4.634.250;0.712863;4.747.378
001_IBOE.set;30;4.575.110;-0.015627;2.910.744;2.767.031;-1.156.124;-1.836.415
002_BL01.set;30;6.900.619;-0.682289;1.931.483;3.197.966;-2.022.089;1.617.666
002_BL02.set;30;8.012.653;0.481348;3.369.487;3.610.884;-2.120.497;1.020.814
002_BL03.set;30;9.912.437;1.141.985;1.452.605;2.612.431;-2.211.806;1.301.258
002_BL04.set;30;11.125.908;2.243.453;7.758.935;5.730.998;1.417.612;5.993.292
002_IBOE.set;30;8.839.169;0.599926;2.970.868;3.550.970;0.214898;3.445.855
003_BL01.set;30;6.031.080;1.798.701;5.946.484;6.416.839;2.405.059;5.364.060
003_BL02.set;30;5.176.348;1.128.665;5.580.666;5.527.052;1.921.516;4.937.310
003_BL03.set;30;7.114.220;2.188.044;6.456.354;6.933.636;2.478.497;5.383.871
003_BL04.set;30;9.522.601;5.021.756;9.990.465;8.651.129;5.580.870;8.491.378
003_IBOE.set;30;5.745.704;1.762.441;5.566.720;6.205.531;2.448.184;5.447.739
004_BL01.set;30;2.011.773;0.628629;4.396.242;4.116.666;0.884268;5.168.996
004_BL02.set;30;4.856.156;1.642.123;5.654.540;4.774.990;1.982.254;6.038.925
004_BL03.set;30;2.997.125;0.267228;3.835.760;5.174.866;0.141150;2.968.463
004_BL04.set;30;6.954.443;2.301.993;5.080.187;3.344.361;3.366.981;7.852.549
004_IBOE.set;18;1.129.680;-4.404.790;-2.298.932;-1.997.836;-2.870.243;-1.258.431
005_BL01.set;30;0.384005;-4.448.158;0.686154;0.763821;-3.497.112;-0.758077
005_BL02.set;30;1.193.114;-3.507.420;1.860.034;0.724893;-2.501.861;0.365202
005_BL03.set;30;1.089.155;-4.712.812;-1.650.759;0.071211;-3.943.360;-2.330.360
005_BL04.set;30;1.411.392;-4.899.277;-2.173.252;0.177658;-4.690.555;-4.133.583
005_IBOE.set;30;2.403.779;-4.666.228;-1.470.186;-0.078709;-4.230.179;-3.536.200
006_BL01.set;30;6.269.654;1.182.421;4.219.113;4.654.083;1.380.381;5.924.703
006_BL02.set;30;3.750.640;-1.069.061;3.453.074;3.675.166;0.719934;5.111.026
006_BL03.set;30;5.787.612;0.652569;3.472.990;4.604.419;0.182745;5.107.597
006_BL04.set;30;5.475.615;0.328737;4.108.939;5.150.643;0.828658;5.794.072
006_IBOE.set;30;6.479.891;0.577125;5.416.781;5.372.492;1.553.728;5.595.076
007_BL01.set;30;5.075.901;0.245555;3.879.075;3.841.003;0.371292;4.958.612
007_BL02.set;30;5.225.139;0.736633;3.989.528;5.295.049;1.042.042;5.475.222
007_BL03.set;30;7.018.849;2.339.348;6.851.579;6.725.545;1.488.402;3.018.060
007_BL04.set;30;5.253.392;1.850.500;3.691.406;4.879.530;1.361.672;2.860.739
007_IBOE.set;30;5.985.986;1.791.132;4.230.714;4.295.874;1.672.171;5.180.673
