Freq. Range[4,7.990000e+00]
Name;#Epochs;Frontal;Central;RightTemporal;LeftTemporal;Parietal;Occipital
001_BL01.set;30;-3.718400;-6.996988;-3.390447;-2.438512;-5.777812;0.211278
001_BL02.set;30;-5.092139;-9.721694;-4.202341;-3.300649;-8.415818;-0.315124
001_BL03.set;30;-4.704502;-9.721567;-5.595226;-3.141852;-9.305099;-0.437036
001_BL04.set;30;-2.683084;-7.294442;-2.282343;-1.198181;-6.021327;-0.940490
001_IBOE.set;30;-4.167669;-9.261897;-4.621951;-2.827737;-9.074400;-2.449201
002_BL01.set;30;-1.127955;-6.400906;-0.219515;-0.462880;-4.266712;2.007294
002_BL02.set;30;0.961907;-5.392635;0.056983;1.501560;-3.696046;2.033878
002_BL03.set;30;1.157359;-5.618257;0.472097;0.873664;-4.473680;1.910646
002_BL04.set;30;2.179342;-4.732822;1.669136;2.019780;-2.405472;3.064547
002_IBOE.set;30;0.904363;-5.467125;0.209427;1.872272;-3.409432;1.529083
003_BL01.set;30;1.076194;-3.436846;0.978108;0.383274;-1.538272;3.396343
003_BL02.set;30;-1.470835;-5.674602;-1.027997;-4.986328;-5.912693;0.905690
003_BL03.set;30;-1.127625;-5.062130;0.345201;-2.038375;-3.536668;2.981645
003_BL04.set;30;-0.227785;-4.186682;0.405845;-1.625588;-3.260402;2.579749
003_IBOE.set;30;-1.519213;-6.115538;-0.290658;-7.638223;-5.408561;1.269662
004_BL01.set;30;-4.361823;-9.670719;-3.988164;-4.096935;-10.299311;-8.435840
004_BL02.set;30;-6.405544;-10.480364;-3.284132;-4.587903;-9.599323;-4.940514
004_BL03.set;30;-6.707130;-12.819895;-3.929114;-4.413137;-9.629451;-5.457655
004_BL04.set;30;-4.865570;-9.846021;-2.813851;-4.059653;-9.054437;-4.724367
004_IBOE.set;30;-7.372590;-11.777396;-4.118289;-4.995914;-10.363585;-7.212216
005_BL01.set;30;-4.787078;-9.636142;-3.061998;-2.868919;-6.975867;-1.638984
005_BL02.set;30;-4.941658;-10.250846;-3.657311;-2.787078;-8.032105;-1.948390
005_BL03.set;30;-4.475883;-10.335991;-2.150585;-1.774190;-6.339348;-1.060782
005_BL04.set;30;-4.477503;-10.867418;-2.847238;-2.677710;-6.773888;-1.629775
005_IBOE.set;23;-1.449339;-9.310800;-2.380987;-3.518170;-5.780796;-1.257117
006_BL01.set;30;-3.345929;-7.075934;-3.037687;-1.025565;-6.201327;-1.082224
006_BL02.set;30;-3.752774;-8.807947;-2.963362;-5.349782;-8.702460;-3.422275
006_BL03.set;30;-4.246838;-8.978959;-3.218175;-4.694426;-8.433568;-3.039105
006_BL04.set;30;-1.116563;-5.897198;-0.108111;-1.009839;-5.343001;-0.784770
006_IBOE.set;30;7.221325;-5.061336;9.202649;10.550721;-3.471394;5.170717
007_BL01.set;30;-3.462843;-8.531794;-2.418157;-1.233544;-4.848159;1.434389
007_BL02.set;30;-1.345389;-7.445599;-1.851263;-1.170666;-5.749632;-0.615797
007_BL03.set;30;-3.258038;-9.782448;-2.919301;-1.638399;-6.658390;-2.086327
007_BL04.set;30;-2.786894;-8.567549;-2.194177;-1.205451;-4.722821;1.289306
007_IBOE.set;30;-2.105748;-7.428585;-2.544985;-0.955736;-4.845633;-0.113965
