Freq. Range[4,7.990000e+00];;;;;;;
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001_BL01.set;30;6.482.806;1.978.847;5.078.794;3.891.155;1.295.836;3.744.242
001_BL02.set;30;7.386.643;2.269.501;4.833.093;1.702.453;1.132.044;3.217.636
001_BL03.set;30;-0.519778;-4.358.717;-0.827444;-1.141.031;-4.246.058;0.537360
001_BL04.set;30;0.915186;-3.113.479;1.668.645;1.278.576;-3.010.115;1.394.142
001_IBOE.set;30;1.162.094;-2.799.929;1.484.361;0.255712;-4.557.821;-3.989.648
002_BL01.set;30;1.714.904;-6.473.194;-2.618.107;-2.619.324;-6.521.177;-1.265.676
002_BL02.set;30;2.151.637;-5.493.670;-1.258.742;-1.783.199;-6.512.862;-1.641.876
002_BL03.set;30;3.265.241;-5.233.051;-2.479.104;-1.378.560;-6.898.687;-1.889.493
002_BL04.set;30;3.710.459;-4.406.991;1.698.219;-0.277237;-4.620.627;0.626802
002_IBOE.set;30;3.395.372;-4.804.411;-0.224420;-0.400499;-5.034.800;-0.630698
003_BL01.set;30;-0.140431;-2.934.173;1.464.553;1.833.323;-1.816.607;1.908.071
003_BL02.set;30;0.960006;-2.992.159;1.240.937;1.592.702;-2.331.786;1.024.201
003_BL03.set;30;1.268.909;-2.912.271;1.549.013;1.687.105;-1.611.918;2.215.865
003_BL04.set;30;2.330.379;-1.758.894;2.494.735;2.320.274;-0.551051;3.137.168
003_IBOE.set;30;1.715.375;-2.146.398;1.124.729;2.771.509;-1.889.208;1.131.251
004_BL01.set;30;-1.809.836;-3.363.022;0.614495;0.087297;-2.502.842;2.661.323
004_BL02.set;30;-0.033270;-3.168.318;1.086.764;-0.096587;-2.244.277;2.711.329
004_BL03.set;30;-2.016.879;-4.375.322;-0.493524;0.715301;-3.808.853;-0.240060
004_BL04.set;30;1.892.924;-2.471.171;0.801656;-0.825829;-0.924731;4.419.092
004_IBOE.set;18;-9.978.802;-15.125.041;-12.683.007;-12.576.896;-13.115.482;-11.451.693
005_BL01.set;30;-5.510.783;-9.491.813;-3.457.037;-4.078.856;-7.593.620;-3.504.203
005_BL02.set;30;-4.441.841;-8.791.560;-2.906.077;-4.295.148;-6.955.191;-2.675.075
005_BL03.set;30;-4.646.362;-9.957.980;-6.115.330;-4.815.991;-8.936.822;-7.521.792
005_BL04.set;30;-4.400.687;-10.014.069;-7.199.568;-4.874.318;-9.228.091;-8.750.801
005_IBOE.set;30;-3.670.667;-9.720.916;-6.134.600;-4.574.281;-9.188.560;-8.264.368
006_BL01.set;30;1.086.218;-3.462.136;0.206235;-0.210359;-1.919.115;4.558.566
006_BL02.set;30;-0.951844;-4.978.684;-0.199921;-0.081474;-2.052.746;4.250.037
006_BL03.set;30;0.611852;-3.494.957;-0.874871;0.072514;-3.092.953;3.457.501
006_BL04.set;30;0.701307;-3.774.567;0.668265;0.282750;-2.125.266;4.034.153
006_IBOE.set;30;0.697720;-4.122.404;0.818646;0.809599;-2.176.534;2.757.390
007_BL01.set;30;-0.335487;-4.043.338;-0.379763;-0.044827;-2.888.424;2.222.411
007_BL02.set;30;-0.552400;-3.865.439;-0.835089;0.009280;-3.274.510;0.992499
007_BL03.set;30;1.057.602;-2.550.084;0.882875;1.425.523;-3.238.465;-1.599.040
007_BL04.set;30;0.102389;-2.869.697;-0.633061;-0.839377;-3.622.895;-1.827.229
007_IBOE.set;30;0.320042;-2.905.655;0.088734;0.451414;-2.399.956;1.144.946
