Wave,Task,n_Music,n_NoMusic,t,df,p_value,Significant,Cohens_d,Effect_size,Test_type,Levene_p
Alpha,BL01,7,7,-0.67,12,0.5155,False,-0.358,small,Student,0.8004
Alpha,BL02,7,7,-1.638,12,0.1273,False,-0.876,large,Student,0.4836
Alpha,BL03,7,7,-1.259,12,0.2321,False,-0.673,medium,Student,0.6255
Alpha,BL04,7,7,-1.093,12,0.2959,False,-0.584,medium,Student,0.7329
Alpha,IBOE,7,7,0.102,12,0.9204,False,0.055,negligible,Student,0.5517
Beta,BL01,7,7,-0.772,12,0.4549,False,-0.413,small,Student,0.7786
Beta,BL02,7,7,-1.517,12,0.1552,False,-0.811,large,Student,0.9482
Beta,BL03,7,7,-0.862,12,0.4058,False,-0.461,small,Student,0.9854
Beta,BL04,7,7,-0.469,12,0.6473,False,-0.251,small,Student,0.75
Beta,IBOE,7,7,0.35,12,0.7323,False,0.187,negligible,Student,0.9299
Delta,BL01,7,7,-2.635,12,0.0218,True,-1.408,large,Student,0.4477
Delta,BL02,7,7,-2.658,12,0.0209,True,-1.421,large,Student,0.964
Delta,BL03,7,7,-3.163,12,0.0082,True,-1.691,large,Student,0.9153
Delta,BL04,7,7,-2.403,12,0.0333,True,-1.284,large,Student,0.9052
Delta,IBOE,7,7,-0.572,12,0.5778,False,-0.306,small,Student,0.3075
Theta,BL01,7,7,-1.913,12,0.0799,False,-1.023,large,Student,0.371
Theta,BL02,7,7,-2.254,12,0.0437,True,-1.205,large,Student,0.8217
Theta,BL03,7,7,-2.317,12,0.039,True,-1.238,large,Student,0.9873
Theta,BL04,7,7,-2.037,12,0.0643,False,-1.089,large,Student,0.8305
Theta,IBOE,7,7,-0.125,12,0.9022,False,-0.067,negligible,Student,0.9577
